capture_id,pcap_file,pcap_path,status,packet_count,flow_count,tshark_packet_count,validation_status,validation_errors,error_message
exp_078_bulk_tunnel_aes_cbc_256_1789045733,exp_078_bulk_tunnel_aes_cbc_256_1789045733.pcapng,raw_pcapng/exp_078_bulk_tunnel_aes_cbc_256_1789045733.pcapng,SUCCESS,7,4,7,PASSED,,
exp_079_bulk_transport_aes_cbc_128_1789045768,exp_079_bulk_transport_aes_cbc_128_1789045768.pcapng,raw_pcapng/exp_079_bulk_transport_aes_cbc_128_1789045768.pcapng,SUCCESS,8,3,8,PASSED,,
exp_080_bulk_tunnel_3des_cbc_1789045804,exp_080_bulk_tunnel_3des_cbc_1789045804.pcapng,raw_pcapng/exp_080_bulk_tunnel_3des_cbc_1789045804.pcapng,SUCCESS,12,3,12,PASSED,,
exp_081_bulk_transport_3des_cbc_1789045841,exp_081_bulk_transport_3des_cbc_1789045841.pcapng,raw_pcapng/exp_081_bulk_transport_3des_cbc_1789045841.pcapng,SUCCESS,2,1,2,PASSED,,
exp_082_bulk_tunnel_aes_gcm_16_256_1789045877,exp_082_bulk_tunnel_aes_gcm_16_256_1789045877.pcapng,raw_pcapng/exp_082_bulk_tunnel_aes_gcm_16_256_1789045877.pcapng,SUCCESS,10,5,10,PASSED,,
exp_083_bulk_transport_aes_gcm_16_128_1789045913,exp_083_bulk_transport_aes_gcm_16_128_1789045913.pcapng,raw_pcapng/exp_083_bulk_transport_aes_gcm_16_128_1789045913.pcapng,SUCCESS,6,3,6,PASSED,,
exp_084_bulk_tunnel_aes_cbc_256_1789045949,exp_084_bulk_tunnel_aes_cbc_256_1789045949.pcapng,raw_pcapng/exp_084_bulk_tunnel_aes_cbc_256_1789045949.pcapng,SUCCESS,7,3,7,PASSED,,
exp_085_bulk_transport_aes_cbc_128_1789045985,exp_085_bulk_transport_aes_cbc_128_1789045985.pcapng,raw_pcapng/exp_085_bulk_transport_aes_cbc_128_1789045985.pcapng,SUCCESS,8,3,8,PASSED,,
exp_086_bulk_tunnel_3des_cbc_1789046021,exp_086_bulk_tunnel_3des_cbc_1789046021.pcapng,raw_pcapng/exp_086_bulk_tunnel_3des_cbc_1789046021.pcapng,SUCCESS,3,2,3,PASSED,,
exp_087_bulk_transport_3des_cbc_1789046057,exp_087_bulk_transport_3des_cbc_1789046057.pcapng,raw_pcapng/exp_087_bulk_transport_3des_cbc_1789046057.pcapng,SUCCESS,11,2,11,PASSED,,
exp_088_bulk_tunnel_aes_gcm_16_256_1789046093,exp_088_bulk_tunnel_aes_gcm_16_256_1789046093.pcapng,raw_pcapng/exp_088_bulk_tunnel_aes_gcm_16_256_1789046093.pcapng,SUCCESS,10,4,10,PASSED,,
exp_089_bulk_transport_aes_gcm_16_128_1789046131,exp_089_bulk_transport_aes_gcm_16_128_1789046131.pcapng,raw_pcapng/exp_089_bulk_transport_aes_gcm_16_128_1789046131.pcapng,SUCCESS,6,3,6,PASSED,,
exp_090_bulk_tunnel_aes_cbc_256_1789046167,exp_090_bulk_tunnel_aes_cbc_256_1789046167.pcapng,raw_pcapng/exp_090_bulk_tunnel_aes_cbc_256_1789046167.pcapng,SUCCESS,7,4,7,PASSED,,
exp_091_icmp_tunnel_aes_gcm_16_256_1789046203,exp_091_icmp_tunnel_aes_gcm_16_256_1789046203.pcapng,raw_pcapng/exp_091_icmp_tunnel_aes_gcm_16_256_1789046203.pcapng,SUCCESS,100,2,100,PASSED,,
exp_092_icmp_transport_aes_gcm_16_128_1789046245,exp_092_icmp_transport_aes_gcm_16_128_1789046245.pcapng,raw_pcapng/exp_092_icmp_transport_aes_gcm_16_128_1789046245.pcapng,SUCCESS,50,3,50,PASSED,,
exp_093_icmp_tunnel_aes_cbc_256_1789046288,exp_093_icmp_tunnel_aes_cbc_256_1789046288.pcapng,raw_pcapng/exp_093_icmp_tunnel_aes_cbc_256_1789046288.pcapng,SUCCESS,71,4,71,PASSED,,
exp_094_icmp_transport_aes_cbc_128_1789046331,exp_094_icmp_transport_aes_cbc_128_1789046331.pcapng,raw_pcapng/exp_094_icmp_transport_aes_cbc_128_1789046331.pcapng,SUCCESS,68,3,68,PASSED,,
exp_095_icmp_tunnel_3des_cbc_1789046374,exp_095_icmp_tunnel_3des_cbc_1789046374.pcapng,raw_pcapng/exp_095_icmp_tunnel_3des_cbc_1789046374.pcapng,SUCCESS,69,3,69,PASSED,,
exp_096_icmp_transport_3des_cbc_1789046422,exp_096_icmp_transport_3des_cbc_1789046422.pcapng,raw_pcapng/exp_096_icmp_transport_3des_cbc_1789046422.pcapng,SUCCESS,30,1,30,PASSED,,
exp_097_icmp_tunnel_aes_gcm_16_256_1789046465,exp_097_icmp_tunnel_aes_gcm_16_256_1789046465.pcapng,raw_pcapng/exp_097_icmp_tunnel_aes_gcm_16_256_1789046465.pcapng,SUCCESS,83,4,83,PASSED,,
exp_098_icmp_transport_aes_gcm_16_128_1789046509,exp_098_icmp_transport_aes_gcm_16_128_1789046509.pcapng,raw_pcapng/exp_098_icmp_transport_aes_gcm_16_128_1789046509.pcapng,SUCCESS,41,3,41,PASSED,,
exp_099_icmp_tunnel_aes_cbc_256_1789046553,exp_099_icmp_tunnel_aes_cbc_256_1789046553.pcapng,raw_pcapng/exp_099_icmp_tunnel_aes_cbc_256_1789046553.pcapng,SUCCESS,86,3,86,PASSED,,
exp_100_icmp_transport_aes_cbc_128_1789046595,exp_100_icmp_transport_aes_cbc_128_1789046595.pcapng,raw_pcapng/exp_100_icmp_transport_aes_cbc_128_1789046595.pcapng,SUCCESS,74,3,74,PASSED,,
exp_101_icmp_tunnel_3des_cbc_1789046639,exp_101_icmp_tunnel_3des_cbc_1789046639.pcapng,raw_pcapng/exp_101_icmp_tunnel_3des_cbc_1789046639.pcapng,SUCCESS,82,2,82,PASSED,,
exp_102_icmp_transport_3des_cbc_1789046683,exp_102_icmp_transport_3des_cbc_1789046683.pcapng,raw_pcapng/exp_102_icmp_transport_3des_cbc_1789046683.pcapng,SUCCESS,41,2,41,PASSED,,
exp_103_icmp_tunnel_aes_gcm_16_256_1789046725,exp_103_icmp_tunnel_aes_gcm_16_256_1789046725.pcapng,raw_pcapng/exp_103_icmp_tunnel_aes_gcm_16_256_1789046725.pcapng,SUCCESS,91,3,91,PASSED,,
exp_104_icmp_transport_aes_gcm_16_128_1789046768,exp_104_icmp_transport_aes_gcm_16_128_1789046768.pcapng,raw_pcapng/exp_104_icmp_transport_aes_gcm_16_128_1789046768.pcapng,SUCCESS,28,3,28,PASSED,,
exp_105_icmp_tunnel_aes_cbc_256_1789046811,exp_105_icmp_tunnel_aes_cbc_256_1789046811.pcapng,raw_pcapng/exp_105_icmp_tunnel_aes_cbc_256_1789046811.pcapng,SUCCESS,47,4,47,PASSED,,
exp_106_mixed_tunnel_aes_gcm_16_256_1789046857,exp_106_mixed_tunnel_aes_gcm_16_256_1789046857.pcapng,raw_pcapng/exp_106_mixed_tunnel_aes_gcm_16_256_1789046857.pcapng,SUCCESS,69,8,69,PASSED,,
